Author,Comment,Clean_Comment
@lowButHigh24,"LANJUTTT GASSS GO INTERNATIONAL

Budayakan negara sendiri bro gih sana gass to international 
The best lah buat lu bro mantapp",lanjuttt gasss go international budayakan negara sendiri bro gih sana gass to international the best lah buat lu bro mantapp
@nhojmatata8682,And this is what happens when INDONESIAN music industry took it to another level! I love it sooo damnnn muchh!!! #Salute,and this is what happens when indonesian music industry took it to another level i love it sooo damnnn muchh salute
@fadliasyrofil8056,I really appreciate this song and all crews who were involved in making this awesome song. Hope u all guys goin to international soon,i really appreciate this song and all crews who were involved in making this awesome song hope u all guys goin to international soon
@Ryūken_ish,"tiba tiba fyp, gak kerasa udah 5 tahun lalu..",tiba tiba fyp gak kerasa udah tahun lalu
@aldojoeee,Seriously I Amaze really Amaze...That Awsome and I can feel the purpose of every lyric plus Sarah U Damn it!! Ur voice when slow part touch my heart then move to java part OMG SARAH UR VOICE DAMN IT!!!,seriously i amaze really amazethat awsome and i can feel the purpose of every lyric plus sarah u damn it ur voice when slow part touch my heart then move to java part omg sarah ur voice damn it
@mej009,to be honest tiktok brought me here....,to be honest tiktok brought me here
@reksifauzi8933,A director is REZA OKTOVIAN? DAMN MAN THIS IS AMAZING,a director is reza oktovian damn man this is amazing
@nurliaShafiqah,Never forget this song,never forget this song
@oliversilver95,Can someone tell me why I’m crying? Or is it just some connection with this music,can someone tell me why im crying or is it just some connection with this music
@ranggadevio590,Kenapa ya gw klo denger ini merasa bangga yg sama like,kenapa ya gw kalau denger ini merasa bangga yang sama like
@dayangnurhima6361,"I am a Malaysian people but i love it!!  Dude u must go international level... Ahh i cannot stop heard this song  

EDIT:wahh?!Thanks for likes... I've never had so much like this",i am a malaysian people but i love it dude u must go international level ahh i cannot stop heard this song editwahhthanks for likes ive never had so much like this
@indahmr9067,here i am from 2020 into may 2025,here i am from into may
@FachurroziRozi,Istimewa,istimewa
@keirio9748,"that Javanese words gave me chills all over my body, as a Javanese i can really relate to the culture you tryna brought",that javanese words gave me chills all over my body as a javanese i can really relate to the culture you tryna brought
@Dany-ge7mh,"Efek song: Jawa
Lagu pembawa: barat 
Jadi kita tau bahwa persatuan tidak memandang negara dan kebudayaan",efek song jawa lagu pembawa barat jadi kita tau bahwa persatuan tidak memandang negara dan kebudayaan
@kennardputra1895,"""Enchantress"" dngan ke aripan lokal",enchantress dngan ke aripan lokal
@ythro5829,"tradisional or modern
WG : ""why not both?""",tradisional or modern wg why not both
@just_happy88,"Selasa,30 september .",selasa september
@yunkashrin609,"When i heard this on tiktok, i thought it was a mashup. But rather the whole song.",when i heard this on tiktok i thought it was a mashup but rather the whole song
@andodepraska,"thanks weird genius,,kalian membuat lagu perpaduan eletric dan budaya indonesia,,kejawen'y keren banget,,sukses selalu.",thanks weird geniuskalian membuat lagu perpaduan eletric dan budaya indonesiakejaweny keren bangetsukses selalu
@lolitajunistia9765,"I cant say anything ,, i really like this song",i cant say anything i really like this song
@yara_kaily,I'm remember when i'm 9 Years Old i wach this,im remember when im years old i wach this
@muhammadqodry6347,"merinding pas di bagian lirik jawa nya asli, enak di denger bgt",merinding pas di bagian lirik jawa nya asli enak di denger banget
@AriwayatBilhaq,I can’t imagine this song is coming from Indonesia if there is no Javanese lyrics. Remarkable concept of clip. It must be a lot of work.,i cant imagine this song is coming from indonesia if there is no javanese lyrics remarkable concept of clip it must be a lot of work
@alvindwiaditya6300,Banyak²in like biar trend,banyakin like biar trend
@nakbima880,sumpah lagu terbagus kedua di indonesia bagus banget,sumpah lagu terbagus kedua di indonesia bagus banget
@fadhilsaufi1519,Fuhh best weh ada jawa rhythm dalam ni. Gempak la Indonesia! Salam dari Malaysia!,fuhh best weh ada jawa rhythm dalam ni gempak la indonesia salam dari malaysia
@Kaminariiedits,"mendapatkan 1,2jt like dan dislike 7,3rb dalam 16jt view bukanlah hal yang biasa dalam video permusikan di youtube, itu angka yang sangat fantastik 
-
*edit
satu hari setelahnya komentar ini dipublish :
19jt view, 1,3jt like, 7,8 dislike, 997rb subs,",mendapatkan jt like dan dislike rb dalam jt view bukanlah hal yang biasa dalam video permusikan di youtube itu angka yang sangat fantastik edit satu hari setelahnya komentar ini dipublish jt view jt like dislike rb subs
@MrSandyster,"Lathi (Javanese) : Perkataan / Ucapan.
a person's personality is judged by his words",lathi javanese perkataan ucapan a persons personality is judged by his words
@hj.ikrimahyuliana,2025 gw masih dengerin lagu ini,gw masih dengerin lagu ini
@meivs524,Lingsir Wengi Remix Full Bass left the chat . . .,lingsir wengi remix full bass left the chat
@sarahnurzafira522,The only unacceptable thing about this song is it ends too soon,the only unacceptable thing about this song is it ends too soon
@pro.gaming5839,"KESEL BETT GUA KENAPA YANG EPIC BEGINI GA TRANDING !!!!! PADAHAL BANYAK ORG LUAR YG REACTION ...
PARAAHH BENERRR",kesel bett gua kenapa yang epic begini tidak tranding padahal banyak org luar yang reaction paraahh benerrr
@sendifebriana,Nostalgia.,nostalgia
@noeyla7814,"Me: Bolos cabut sekolah pas pelajaran


Guru BK: Koe ra iso mlayu",me bolos cabut sekolah pas pelajaran guru bk koe ra iso mlayu
